Position,Team,No_Matches,Points,Goals_Scored,Goals_Conceded,Goal_Difference,Shots_For,Shots_Against,Shots_On_Target_For,Shots_On_Target_Against,Fouls_Commited,Fouls_Suffered,Corners_For,Corners_Against,Team_Cards,Opposition_Cards
1,"Man City",190,458,485,143,342,3411,1275,1257,473,1714,1728,1433,503,270,327
2,Liverpool,190,432,420,161,259,3142,1561,1160,563,1749,1678,1282,651,219,275
3,Chelsea,190,349,328,200,128,2987,1723,1061,592,1930,2027,1161,745,277,354
4,"Man United",190,345,329,219,110,2611,2245,1021,770,2117,2038,1020,919,364,338
5,Tottenham,190,340,339,207,132,2538,2323,940,767,2007,2141,1003,948,329,390
6,Arsenal,190,319,319,237,82,2516,2312,904,805,1924,2116,1085,935,358,363
7,Leicester,190,279,304,258,46,2393,2223,876,780,1906,2073,1034,994,292,328
8,"West Ham",190,254,271,283,-12,2132,2602,776,898,1795,1879,897,1020,308,264
9,Everton,190,250,232,274,-42,2163,2397,739,821,2117,2043,896,1019,346,336
10,"Crystal Palace",190,228,218,270,-52,2103,2480,695,838,2060,2255,918,1074,325,357
11,Newcastle,190,227,209,277,-68,2133,2627,713,869,1980,1986,820,1126,336,327
12,Burnley,190,222,191,265,-74,1917,2927,631,918,1899,1953,834,1218,329,242
13,Wolves,152,212,172,181,-9,1797,1805,586,605,1605,1476,765,728,251,332
14,Southampton,190,210,223,316,-93,2336,2393,824,886,2114,1977,1042,1031,330,311
15,Brighton,190,209,190,258,-68,2186,2469,663,805,2081,1703,918,1027,318,287
16,Watford,152,148,166,264,-98,1694,1964,530,720,1798,1515,690,844,300,253
17,"Aston Villa",114,135,148,167,-19,1424,1622,499,531,1291,1622,611,658,220,257
18,Bournemouth,114,123,141,196,-55,1303,1629,442,547,1047,1313,603,688,198,251
19,Leeds,76,97,104,133,-29,1007,1140,353,432,896,818,402,394,169,125
20,"Sheffield United",76,77,59,102,-43,679,972,214,352,869,630,383,461,144,84
21,"West Brom",76,57,66,132,-66,715,1114,226,403,844,795,321,443,133,107
22,Fulham,76,54,61,134,-73,895,1012,285,398,907,741,325,418,144,84
23,Huddersfield,76,53,50,134,-84,760,961,229,356,816,761,327,379,130,133
24,Brentford,38,46,48,56,-8,442,502,154,183,371,377,159,232,67,56
25,Norwich,76,43,49,159,-110,782,1236,240,444,719,887,327,519,132,121
26,Cardiff,38,34,34,69,-35,417,571,126,212,384,415,168,260,67,54
27,Swansea,38,33,28,56,-28,336,538,104,191,377,414,150,195,53,68
28,Stoke,38,33,35,68,-33,382,578,131,220,436,392,136,281,64,49
