HomeTeam,HomePoints,HGoalsScored,HGoalsConceded,HShotsFor,HShotsAgainst,HOnTargetFor,HOnTargetAgainst,HFoulsCommited,HFoulsSuffered,HCornersFor,HCornersAgainst,HCardsTeam,HCardsOpp,Hmatches,AwayTeam,AwayPoints,AGoalsConceded,AGoalsScored,AShotsAgainst,AShotsFor,AOnTargetAgainst,AOnTargetFor,AFoulsSuffered,AFoulsCommited,ACornersAgainst,ACornersFor,ACardsOpp,ACardsTeam,Amatches
"Man City",239,276,71,1816,588,687,223,846,827,749,227,114,168,95,"Man City",219,72,209,687,1595,250,570,901,868,276,684,159,156,95
Liverpool,233,230,65,1729,707,635,255,847,820,703,317,92,141,95,Liverpool,199,96,190,854,1413,308,525,858,902,334,579,134,127,95
Arsenal,197,191,98,1417,1063,527,362,994,1116,631,445,169,183,95,Arsenal,122,139,128,1249,1099,443,377,1000,930,490,454,180,189,95
Tottenham,193,183,88,1401,1082,504,359,1007,1029,547,421,143,189,95,Tottenham,147,119,156,1241,1137,408,436,1112,1000,527,456,201,186,95
"Man United",186,181,101,1412,966,544,348,1028,993,537,421,163,151,95,"Man United",159,118,148,1279,1199,422,477,1045,1089,498,483,187,201,95
Chelsea,182,167,84,1622,789,598,255,947,1024,659,354,132,176,95,Chelsea,167,116,161,934,1365,337,463,1003,983,391,502,178,145,95
Leicester,153,152,112,1268,1034,450,352,958,1038,543,444,130,174,95,Leicester,126,146,152,1189,1125,428,426,1035,948,550,491,154,162,95
Everton,150,133,117,1165,1114,390,376,1033,1055,499,470,164,189,95,Everton,100,157,99,1283,998,445,349,988,1084,549,397,147,182,95
"West Ham",146,151,134,1129,1160,407,412,903,934,490,457,149,137,95,"West Ham",108,149,120,1442,1003,486,369,945,892,563,407,127,159,95
Newcastle,132,117,123,1194,1220,384,384,1005,1014,439,504,161,184,95,Newcastle,95,154,92,1407,939,485,329,972,975,622,381,143,175,95
"Crystal Palace",121,110,119,1185,1093,376,376,1018,1155,510,472,162,188,95,"Crystal Palace",107,151,108,1387,918,462,319,1100,1042,602,408,169,163,95
Brighton,117,104,125,1228,1070,339,376,1041,852,525,428,168,148,95,Brighton,92,133,86,1399,958,429,324,851,1040,599,393,139,150,95
Burnley,116,96,124,1063,1295,349,426,949,996,463,527,148,123,95,Burnley,106,141,95,1632,854,492,282,957,950,691,371,119,181,95
Southampton,115,119,140,1214,1137,424,413,1034,998,533,501,157,158,95,Southampton,95,176,104,1256,1122,473,400,979,1080,530,509,153,173,95
Wolves,114,96,90,994,816,316,293,798,726,405,323,125,188,76,Wolves,98,91,76,989,803,312,270,750,807,405,360,144,126,76
Watford,86,92,132,920,928,284,361,918,788,353,387,166,134,76,Watford,62,132,74,1036,774,359,246,727,880,457,337,119,134,76
Bournemouth,76,78,85,695,782,225,257,524,675,313,319,111,132,57,Bournemouth,47,111,63,847,608,290,217,638,523,369,290,119,87,57
"Aston Villa",72,80,86,753,750,261,264,653,800,321,301,104,121,57,"Aston Villa",63,81,68,872,671,267,238,822,638,357,290,136,116,57
"Sheffield United",49,36,42,394,433,129,153,419,307,224,192,66,51,38,"Sheffield United",28,60,23,539,285,199,85,323,450,269,159,33,78,38
Leeds,47,47,59,529,509,182,195,463,405,214,182,90,68,38,Leeds,50,74,57,631,478,237,171,413,433,212,188,57,79,38
"West Brom",33,36,68,384,541,124,197,435,377,201,213,65,50,38,"West Brom",24,64,30,573,331,206,102,418,409,230,120,57,68,38
Huddersfield,32,26,56,410,409,112,166,394,376,187,155,63,73,38,Huddersfield,21,78,24,552,350,190,117,385,422,224,140,60,67,38
Fulham,31,31,64,508,453,149,193,436,357,191,182,76,45,38,Fulham,23,70,30,559,387,205,136,384,471,236,134,39,68,38
Norwich,27,31,80,420,572,136,225,364,454,191,250,64,75,38,Norwich,16,79,18,664,362,219,104,433,355,269,136,46,68,38
Brentford,24,22,21,233,220,77,72,187,183,88,107,33,24,19,Brentford,22,35,26,282,209,111,77,194,184,125,71,32,34,19
Swansea,21,17,24,214,222,69,86,196,213,95,81,24,40,19,Swansea,12,32,11,316,122,105,35,201,181,114,55,28,29,19
Cardiff,20,21,38,230,254,68,92,195,232,95,116,33,36,19,Cardiff,14,31,13,317,187,120,58,183,189,144,73,18,34,19
Stoke,20,20,30,203,264,65,97,219,198,80,128,32,23,19,Stoke,13,38,15,314,179,123,66,194,217,153,56,26,32,19
